pair_id,dataset_id_1,column_name_1,sample_values_1,dataset_id_2,column_name_2,sample_values_2,jaccard_score,lazo_score,embedding_score,vote_count,confidence,y/n
45,7kc8-z939,borough,"Brooklyn, Manhattan, N/A, Queens, Staten Island",h9gi-nx95,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",1,1,1,3,high,y
46,e7gc-ub6z,borough,"BRONX, MANHATTAN, QUEENS",fc53-9hrv,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,1,3,high,y
47,f6s7-vytj,borough,"MANHATTAN, QUEENS",n7ta-pz8k,borough,"Brooklyn, Queens, Staten Island",1,1,1,3,high,y
48,6a2s-2t65,borough,Brooklyn,ay6v-3gm3,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,1,3,high,y
49,a2pm-dj2w,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",tzwr-vksx,borough,"BRONX, BROOKLYN, MANHATTAN",1,1,1,3,high,y
50,jt7v-77mi,registration_state,"99, ME, NJ, NY, TX",qmh3-uvgq,state,"IL, NJ, NY, VA",0.5,0.7,0,2,medium,y
51,72r6-mtgs,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",y23c-72fa,borough,"Brooklyn, Manhattan, Queens, Staten Island",1,1,0,2,medium,y
52,iaig-3vs5,borough,"Bronx, Brooklyn, Manhattan",pc34-d3sx,borough,Bronx,1,1,0,2,medium,y
53,78sp-6jhj,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",b4mf-rg6h,borough,"Bronx, Brooklyn, Manhattan, Queens",1,1,0,2,medium,y
54,9ji4-nien,borough,"Bronx, Manhattan",ntcm-2w4k,borough,"BRONX, BROOKLYN",1,0.8,0,2,medium,y
55,56u5-n9sa,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",6wy6-6agj,borough_name,"Brooklyn, Manhattan",0.5,1,0,2,medium,y
56,c284-tqph,vehicle_make,"CHEVR, FORD, GMC, HONDA, INTER",p7t3-5i9s,vehicle_make,"BMW, CHEVR, CMCKU, FORD, FRUEH",1,0.7,0,2,medium,y
57,h6af-x63h,borough,"Bronx, Brooklyn, Queens",wzur-rhz9,borough,"BRONX, BROOKLYN, QUEENS",1,1,0,2,medium,y
58,shpd-5q9m,borough,"BROOKLYN, MANHATTAN",y23c-72fa,borough,"Brooklyn, Manhattan, Queens, Staten Island",1,1,0,2,medium,y
59,5ijn-vbdv,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS, STATEN ISLAND",bkui-39n8,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",1,1,0,2,medium,y
60,ybdk-jmnn,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",ygpa-z7cr,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",1,0.8,0,2,medium,y
61,edk2-vkjh,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",u42f-se8e,borough,"Bronx, Brooklyn",1,1,0,2,medium,y
62,2iga-a6mk,validated_borough,"Bronx, Brooklyn, Manhattan, Queens",tc6u-8rnp,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",0.5,1,0,2,medium,y
63,gdpi-hegk,progress_grade,"A, B, C, D, F",xne4-4v8f,_2011_2012_progress_grade,"A, B, C, D, F",0.5,1,0,2,medium,y
64,6246-94tp,borough_name,"BRONX, BROOKLYN, MANHATTAN, QUEENS",qyv6-5ipu,borough,"Bronx, Brooklyn, Manhattan, Queens",0.5,1,0,2,medium,y
65,fuhs-xmg2,borough,Manhattan,gyrw-gvqc,park_borough,"Bronx, Brooklyn, Manhattan, Queens",0.5,1,0,2,medium,y
66,pd5h-92mc,borough,"Bronx, Brooklyn",w76s-c5u4,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,0,2,medium,y
67,g993-cbry,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",hyur-qpyf,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,0,2,medium,y
68,budf-qanm,q14_c4_r3,"0 hrs, 11-20 hrs",c4vk-jvzy,q14_c1_r4,"21-30 hrs, 71-80 hrs, 81-90 hrs, 91-100 hrs",1,0.75,0,2,medium,n
69,8vgb-zm6e,borough,"BROOKLYN, MANHATTAN, QUEENS",tbf6-u8ea,borough,"All, Bronx, Brooklyn, Manhattan, Manhattan and Bronx",1,1,0,2,medium,y
70,3qem-6v3v,borough,"Bronx, Brooklyn, Manhattan, Queens",x4x8-m3ds,borough,"Average, Bronx, Brooklyn, Manhattan, Queens",1,1,0,2,medium,y
71,t4kb-prwp,borough,"BROOKLYN, MANHATTAN, QUEENS, STATEN ISLAND",x4x8-m3ds,borough,"Average, Bronx, Brooklyn, Manhattan, Queens",1,1,0,2,medium,y
72,r465-fr2q,borough,"Bronx, Manhattan",xi7c-iiu2,borough,"Bronx, Brooklyn",1,1,0,2,medium,y
73,frre-6z6q,applicant_borough,"BRONX, BROOKLYN, MANHATTAN",h2bn-gu9k,borough,"Brooklyn, Manhattan, Queens",0.5,1,0,2,medium,y
74,9ji4-nien,borough,"Bronx, Manhattan",e5aq-a4j2,borough,"BROOKLYN, MANHATTAN, QUEENS",1,1,0,2,medium,y
75,tg4x-b46p,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",vqu8-xef9,borough,"Bronx, Manhattan, Queens",1,1,0,2,medium,y
76,867j-5pgi,boro,"BRONX, BROOKLYN, MANHATTAN, QUEENS",kwss-yksz,boro,"Bronx, Brooklyn, Manhattan, Queens",1,0.8,0,2,medium,y
77,b4mf-rg6h,borough,"Bronx, Brooklyn, Manhattan, Queens",sqcr-6mww,park_borough,"BRONX, BROOKLYN, STATEN ISLAND, Unspecified",0.5,1,0,2,medium,y
78,9a6i-gcns,borough,"Bronx, Brooklyn",tja3-yjvi,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,0,2,medium,y
79,8zf9-spf8,registration_state,"NJ, NY, PA, WA",ci93-uc8s,state,NY,0.5,0.5714,0,2,medium,y
80,9n6h-pt9g,borough,"Brooklyn, Queens, Staten Island",e3qr-idgg,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,0,2,medium,y
81,76ig-c548,park_borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",de3m-c5p4,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",0.5,1,0,2,medium,y
82,ii3r-svjz,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",upii-frjc,borough_of_violation,"Bronx, Brooklyn, LONG ISLAND, Manhattan, Queens",0.5,1,0,2,medium,y
83,c292-vzrn,city,"BRONX, BROOKLYN, Brooklyn, Flushing, Foxhurst",wcm8-aq5w,city,"BRONX, ELMHURST, Manhattan, NEW YORK, New York",1,0.6364,0,2,medium,y
84,bheb-sjfi,borough,"Bronx, Brooklyn, Manhattan, Queens",c5iv-bn4s,borough,"Bronx, Brooklyn, EWR, Manhattan, Queens",1,1,0,2,medium,y
85,76ig-c548,park_borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",nnf6-km2a,borough,"Bronx, Bronx, Brooklyn, Manhattan, Queens, Bronx, Brooklyn, Manhattan, Queens, Staten Island, Bronx, Brooklyn, Manhattan, Staten Island, Bronx, Brooklyn, Queens",0.5,1,0,2,medium,y
86,ptkq-bbd4,class_size,"15, 16, 17, 18, 19",pvwn-aqw2,class_size,"15, 16, 17, 18, 19",1,1,0,2,medium,y
87,5zyy-y8am,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",yiqb-mq9h,borough,"BRONX, MANHATTAN, QUEENS",1,1,0,2,medium,y
88,pxkn-awzt,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",yr5p-wjer,borough,"BRONX, MANHATTAN, QUEENS, STATEN IS",1,0.8,0,2,medium,y
89,vmfm-wic2,borough,"BRONX, BROOKLYN, MANHATTAN",xi7c-iiu2,borough,"Bronx, Brooklyn",1,1,0,2,medium,y
90,pitm-atqc,borough,"Brooklyn, Manhattan, Queens",yv25-wqf9,park_borough,"Brooklyn, Queens, Staten Island",0.5,1,0,2,medium,y
91,e7gc-ub6z,borough,"BRONX, MANHATTAN, QUEENS",inb9-u6nt,borough,"Brooklyn, Manhattan, Queens",1,1,0,2,medium,y
92,n2h8-q6ag,borough,"Bronx, Brooklyn",nnf6-km2a,borough,"Bronx, Bronx, Brooklyn, Manhattan, Queens, Bronx, Brooklyn, Manhattan, Queens, Staten Island, Bronx, Brooklyn, Manhattan, Staten Island, Bronx, Brooklyn, Queens",1,1,0,2,medium,y
93,eyb2-p5s8,borough,"Bronx, Manhattan, Queens",tzsf-n2j8,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,0,2,medium,y
94,7ynj-zrfs,grade_level,0K,kpav-sd4t,level,"00, 01, 02, 03, 1B",0.5,0.8,0,2,medium,n
95,nre2-6m2s,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",vz8c-29aj,borough,"Bronx, Brooklyn, Brooklyn (Note: General Education Only), Brooklyn (Note: Special Education Only), Manhattan",1,1,0,2,medium,y
96,jr24-e7cr,borough,"BROOKLYN, MANHATTAN, QUEENS",ygfr-ij6t,borough,"BRONX, BROOKLYN, MANHATTAN",1,1,0,2,medium,y
97,77q4-nkfh,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS, STATEN IS",rcd4-qkns,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,0.8,0,2,medium,y
98,g76y-dcqj,borough,"BRONX, BROOKLYN, MANHATTAN",yhdx-itry,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,1,0,2,medium,y
99,77q4-nkfh,primary_property_type_epa,"Distribution Center, Hotel, Manufacturing/Industrial Plant, Multifamily Housing, Non-Refrigerated Warehouse",wcm8-aq5w,primary_property_type_self,"Financial Office, Hospital (General Medical & Surgical), Office, Retail Store",0.6,0.5833,0,2,medium,y
100,7qdz-u9hr,no_freq_bike_nyc_3,"0, 995",i2im-iqtt,no_freq_bike_nyc_1,"0, 1, 995",1,0,0.9547,2,medium,n
101,8b6c-7uty,longitude,"-73.975891, -73.979308, -73.982455, -73.982555, -73.984497",8rjn-kpsh,longitude,"-73.85568014, -73.86129603, -73.86198924, -73.86209796, -73.87265645",1,0,1,2,medium,n
102,bsin-59hv,borough,"3, 5",nibs-na6y,borough,"BK, BX, MN, QN",1,0,1,2,medium,n
103,77q4-nkfh,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS, STATEN IS",t8xi-d5wb,borough,Brooklyn,1,0,1,2,medium,y
104,8kvz-b7tv,borough,"Q, R, X",r4s5-tb2g,borough,4,1,0,1,2,medium,n
105,inb9-u6nt,status,Complete,uvpi-gqnh,status,Alive,1,0,1,2,medium,n
106,dpb9-ubdh,borough_in,,vibf-3qrq,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",1,0,0.8772,2,medium,n
107,3as9-uee8,state,New York,ayeb-p4mv,state,NY,1,0,1,2,medium,y
108,hrsu-3w2q,year,2015-2016,wn4z-dw55,year,2019,1,0,1,2,medium,y
109,dpm2-m9mq,latitude,"40.61674369862869, 40.6345728463933, 40.680512861155236, 40.68534744539997, 40.719681440276766",yhdx-itry,latitude,"40.5538, 40.576126, 40.60759, 40.610675, 40.616594",1,0,1,2,medium,n
110,mpbx-6c9k,borough,"Bronx, Brooklyn, Citywide, Manhattan, Queens",xck4-5xd5,borough,Manhattan,1,0,1,2,medium,y
111,8vgb-zm6e,lot,"1021, 1029, 1030, 1031, 108",kyvb-rbwd,lot,"1, 12, 143, 15, 18",1,0,1,2,medium,n
112,k3sr-iysq,borough,"B, M, Q, R, X",xi7c-iiu2,borough,"Bronx, Brooklyn",1,0,1,2,medium,y
113,xzy8-qqgf,year,"2022-23, 2023-24, 2024-25, 2025-26, 2026-27",yjxr-fw8i,year,2018/19,1,0,1,2,medium,n
114,g5fd-8j6i,borough,"M, R",jcih-dj9q,borough,4,1,0,1,2,medium,n
115,kfgh-h6re,longitude,"-73.811061, -73.909402, -73.90977, -73.923122, -73.937889",tcj7-bhry,longitude,"-73.818247, -73.938711, -73.942303, -73.946845, -73.947916",1,0,1,2,medium,n
116,cspg-yi7g,city,"BAYSIDE, BRONX, BROOKLYN, CALVERTON, EAST SETAUKET",utpj-74fz,city,"Bronx, Brooklyn, Elmhurst, NEW YORK, New York",1,0,1,2,medium,y
117,52n9-sdep,shape_leng,"1071.49341272, 138.679061622, 171.8796812, 1816.7325425, 182.583439795",uk9f-6y9n,shape_leng,"1056031.28191, 1271867.23663, 1508523.96127, 1560117.26966, 1616650.92911",1,0,1,2,medium,n
118,utpj-74fz,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",uu87-uz8m,borough_mn,11,1,0,0.8627,2,medium,n
119,bsin-59hv,bbl,"3031960010, 3032327501, 3049540046, 3052917501, 3056647502",pd5h-92mc,bbl,"1022150080, 2026980012, 2028380004, 2028450070, 2028500034",1,0,1,2,medium,y
120,jaw4-yuem,agency,"Administration for Children's Services, Department of Consumer and Worker Protection, Department of Corrections, Department of Health and Mental Hygiene, Department of Investigation",xrwg-eczf,agency,"CCHR, CCRB, DCAS, DCP, DCWP",1,0,1,2,medium,y
121,s3k6-pzi2,website,"schools.nyc.gov/SchoolPortals/08/X282, schools.nyc.gov/SchoolPortals/10/X439, schools.nyc.gov/schoolportals/02/M544, schools.nyc.gov/schoolportals/21/K728, schools.nyc.gov/schoolportals/29/Q313",ut65-is4f,website,"https://www.livexyz.com/, https://www.mastercard.us/en-us.html, wp.nyu.edu/sonyc/, www.beta.nyc/products/open-maps/, www.cuebiq.com/",1,0,1,2,medium,n
122,ahcp-vck8,boro,"2, 3, 2004",cmjf-yawu,boro,K,1,0,1,2,medium,n
123,82zj-84is,latitude,"40.519531, 40.606641, 40.606762, 40.650365, 40.671747",smn3-rzf9,latitude,"40.5841, 40.6243031677402, 40.643387, 40.6556061827375, 40.699768",1,0,1,2,medium,n
124,qybk-bjjc,borough,K,v57i-gtxb,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",1,0,1,2,medium,n
125,g76y-dcqj,borough,"BRONX, BROOKLYN, MANHATTAN",w2pb-icbu,borough,"1, 2",1,0,1,2,medium,n
126,4dx7-axux,longitude,"-73.771275, -73.771278, -73.771666, -73.814594, -73.950874",8gpu-s594,longitude,"-73.756839, -73.762795, -73.817441, -73.830366, -73.854824",1,0,1,2,medium,n
127,64uk-42ks,borough,"BX, QN, SI",f264-qcv3,borough,"BRONX, BROOKLYN, MANHATTAN, QUEENS",1,0,1,2,medium,y
128,b4mf-rg6h,zipcode,,ghu2-eden,zipcode,"10002, 10009, 10039, 10308, 10457",1,0,1,2,medium,n
129,6a2s-2t65,borough,Brooklyn,a4qt-mpr5,borough,"B, M, Q, R, X",1,0,1,2,medium,y
130,usmc-hn5p,borough,"Manhattan, Staten Island",w2pb-icbu,borough,"1, 2",1,0,1,2,medium,n
131,922w-z7da,latitude,"40.57843437842163, 40.64381010324276, 40.66273113759284, 40.68018559555126, 40.68311071745809",9hxz-c2kj,latitude,"40.567866131544, 40.580035276786, 40.593494416642, 40.624488731233, 40.625655229043",1,0,1,2,medium,n
132,922w-z7da,nta,"BK09, BK19, BK38, BK61, BK69",exsg-kpya,nta,"Brighton Beach, Charleston-Richmond Valley-Tottenville, Cypress Hills-City Line, Dyker Heights, Flatlands",1,0,1,2,medium,n
133,5ps9-yuef,borough,"1, 2, 3, 4, 5",vgmz-py3h,borough,M,1,0,1,2,medium,n
134,756x-9djt,borough,"Bronx Total, K, M, Manhattan Total, X",i3a3-qxkf,borough,"1, 2, 3, 4, 5",1,0,1,2,medium,n
135,ebkm-iyma,nta,"BK25, BK37, BK41, BX14, BX17",y9si-s7ab,nta,"BK61, BK79, BK95, BX14, BX35",1,0,1,2,medium,y
136,dy27-rrad,borough,Brooklyn,ssq6-fkht,borough,,1,0,1,2,medium,n
137,8wi4-bsy4,borough,"BK, BX, MN, QN",enfh-gkve,borough,"B, M, Q, R, X",1,0,1,2,medium,y
138,bdha-6eqy,name,"Ansonia Station, Cathedral Station, College Station, Columbia University, Columbus Circle",e4ej-j6hn,name,"Alex Lindower Park, Bensonhurst Park, Dyker Beach Park, Ferry Point Park, Francis Lewis Park",1,0,1,2,medium,n
139,5ery-qagt,longitude,"-73.807836500919, -73.826153188696, -73.861699899386, -73.893078496669, -73.904803302401",p4u2-3jgx,longitude,"-73.83763, -73.845794, -73.854798, -73.862144, -73.881384",1,0,1,2,medium,n
140,i595-2byq,address,"1014 BROOKLYN AVE, 1087 FLUSHING AVE, 120 RICHARDS STREET 2ND FLOOR, 1300 AVENUE P, 1302 81 ST ST.",xx2p-4jnq,address,"10 Richmond Terrace, 100 Gold St., 111 Canal St. (vacant), 111 Centre St., 120-55 Queens Blvd.",1,0,1,2,medium,y
141,5mv6-f76y,borough_bl,"1005830001, 1008010034, 1008160031, 1008190037, 1008620001",wcm8-aq5w,borough,"BRONX, MANHATTAN, QUEENS, STATEN IS",1,0,0.8678,2,medium,n
142,5npv-j6gn,borough,"B, M, R, X",9hyh-zkx9,borough,"Bronx, Brooklyn, Manhattan, Queens",1,0,1,2,medium,y
143,d83i-6us7,borough,"BK, MN, Qns",fn4k-qyk2,borough,"1, 2, 3, 4, 5",1,0,1,2,medium,n
144,h9gi-nx95,latitude,"40.59662, 40.62179, 40.667202, 40.67172, 40.675884",ygfr-ij6t,latitude,"40.620447, 40.730657, 40.815197, 40.818255, 40.818516",1,0,1,2,medium,n
145,4pta-f4ca,borough,"Bronx, Brooklyn, Manhattan, Queens, Staten Island",snr4-t66y,borough,"B, Q, R, X",1,0,1,2,medium,y
146,66be-66yr,location,"102-36 187TH STREET, 111-21 LIVERPOOL STREET, 113-32 205TH STREET, 114-42 139TH STREET, 115-22 210TH STREET",ghu2-eden,location,"29 St. bet. 40 Ave. and 39 Ave., 3 Ave. bet. 35 St. and 34 St., 31 Ave., 51 St., 54 St., 35 Ave. bet. Steinway St. and 41 St., Adelphi St., Clermont Ave., Dekalb Ave., Willoughby Ave.",1,0,1,2,medium,y
147,nnf6-km2a,borough,"Bronx, Bronx, Brooklyn, Manhattan, Queens, Bronx, Brooklyn, Manhattan, Queens, Staten Island, Bronx, Brooklyn, Manhattan, Staten Island, Bronx, Brooklyn, Queens",usep-8jbt,borough,1,1,0,1,2,medium,n
148,exsg-kpya,latitude,"40.515165, 40.579785, 40.593429, 40.622264, 40.62278",kfp4-dz4h,latitude,"40.563178, 40.598877, 40.637355, 40.67887, 40.713542",1,0,1,2,medium,n
149,5dck-9m6g,coundist,"1, 10, 19, 21, 25",p78i-pat6,coundist,"10, 11, 12, 13, 14",1,0,1,2,medium,n
150,nmue-7zq2,boroughname,"BROOKLYN, MANHATTAN, QUEENS",ptev-4hud,borough,"Bronx, Brooklyn, Outside NYC, Queens",0,1,0.8892,2,medium,y
151,c38p-gtif,qr_1_4,"No Data, Proficient, Well Developed",s7cx-86ha,qr_1_2,"Developing, No Data, Proficient, Well Developed",0,1,0.9018,2,medium,y
152,jvwx-xnsr,borough,"Bronx, Brooklyn",tqtj-sjs8,boroughname,"BROOKLYN, MANHATTAN, QUEENS",0,1,0.8892,2,medium,y
